fila_excel,pedido_id,barrio,error
1897,3560,Recoger en Tienda,barrio no encontrado
1898,3561,Recoger en Tienda,barrio no encontrado
1899,3562,Recoger en Tienda,barrio no encontrado
1901,3564,Recoger en Tienda,barrio no encontrado
1903,3566,Recoger en Tienda,barrio no encontrado
1910,3572,Recoger en Tienda,barrio no encontrado
1911,3573,Recoger en Tienda,barrio no encontrado
1912,3574,Recoger en Tienda,barrio no encontrado
1913,3575,Recoger en Tienda,barrio no encontrado
1914,3576,Recoger en Tienda,barrio no encontrado
1920,3581,Recoger en Tienda,barrio no encontrado
1921,3582,Recoger en Tienda,barrio no encontrado
1923,3584,Ciudad Jardín Modelo,barrio no encontrado
1929,3589,Ciudad Jardín Modelo,barrio no encontrado
1933,3593,Recoger en Tienda,barrio no encontrado
1938,3596,Recoger en Tienda,barrio no encontrado
1944,3602,Recoger en Tienda,barrio no encontrado
1946,3604,Recoger en Tienda,barrio no encontrado
1947,3605,Recoger en Tienda,barrio no encontrado
1948,3606,Recoger en Tienda,barrio no encontrado
1958,3616,Recoger en Tienda,barrio no encontrado
1960,3618,Recoger en Tienda,barrio no encontrado
1963,3621,Recoger en Tienda,barrio no encontrado
1966,3623,Recoger en Tienda,barrio no encontrado
